№ п/п;Штрих-код партии;Наименование товара;Поставщик;Дата приходного документа;Номер приходного документа;Дата накладной;Номер накладной;Кол-во;Сумма в закупочных ценах без НДС;Ставка НДС поставщика;Сумма НДС;Сумма в закупочных ценах с НДС
3960;2,01186E+11;Товар_3745;Романов Инкорпорэйтед;03.07.2021;6677075.071775486;11.05.2021;nn-589/15;3.431588888;477.06;20.0;34.09;546.2
501;2,00594E+11;Товар_2231;РАО «Лаврентьев»;03.09.2020;2253140.395594809;10.12.2020;nn-590/15;0.543315081;63.11;20.0;22.93;74.64
3937;2,01552E+11;Товар_4916;ООО «Щукина Степанова»;22.10.2021;16000840.8;11.09.2021;nn-591/15;12.611618316;204.33;10.0;24.36;229.05
890;2,0134E+11;Товар_4831;НПО «Буров-Данилов»;12.10.2021;8304528.611558086;04.10.2021;nn-592/15;0.549151048;459.36;10.0;70.16;509.33
2571;2,00615E+11;Товар_1205;ОАО «Субботин Якушев»;05.08.2021;2396684.2977707926;15.06.2021;nn-593/15;2.247443455;83.92;10.0;03.апр;84.76
647;2,01562E+11;Товар_1948;НПО «Фролов Кузнецов»;04.09.2021;16000840.8;02.09.2021;nn-594/15;0.119219392;153.1;10.0;53.26;186.0
4519;2,00344E+11;Товар_4018;НПО «Кудрявцева»;26.06.2021;2004369.7120769687;24.06.2021;nn-595/15;3.022832223;406.11;10.0;24.82;446.99
855;2,00221E+11;Товар_360;Игнатьева Инк;19.01.2021;2000288.2210406924;13.05.2021;nn-596/15;0.19178906;577.57;10.0;197.91;702.19
2955;2,00476E+11;Товар_2348;АО «Вишнякова, Нестерова и Дроздова»;02.08.2021;2029445.672800336;11.08.2021;nn-597/15;5.806487008;678.99;20.0;48.73;786.55
2579;2,01028E+11;Товар_5495;РАО «Семенов»;13.09.2021;4161852.584018211;23.09.2021;nn-598/15;3.046682225;245.9;10.0;85.84;289.35
2119;2,00632E+11;Товар_3123;АО «Носов, Кошелев и Гущин»;18.05.2021;2180790.5648650336;22.04.2021;nn-599/15;4.017149173;389.66;10.0;17.65;419.11
4318;2,01499E+11;Товар_5885;ОАО «Федотов, Дорофеев и Данилова»;14.10.2021;13308571.62792915;11.09.2021;nn-600/15;6.483382218;39.57;10.0;17.25;46.69
2076;2,00151E+11;Товар_88;ЗАО «Овчинникова»;25.06.2021;2000010.8710489615;19.08.2021;nn-601/15;2.884895125;1257.63;10.0;81.27;1373.97
4377;2,01322E+11;Товар_5738;Шарапов Групп;26.05.2021;10356767.968165196;30.06.2021;nn-602/15;21.801235087;2240.95;10.0;144.6;2501.78
4031;2,00884E+11;Товар_3673;ООО «Кононова»;13.09.2021;3184854.710383517;11.08.2021;nn-603/15;2.680695311;469.27;10.0;46.44;526.78
4176;2,00328E+11;Товар_1197;ИП «Лыткин»;05.11.2021;2019568.405677183;18.10.2021;nn-604/15;5.005925001;791.96;10.0;27.36;853.46
4126;2,00322E+11;Товар_4122;РАО «Лобанов, Кабанова и Якушева»;30.06.2021;2008776.1807908453;08.09.2021;nn-605/15;3.792410414;347.66;10.0;26.17;392.65
1257;2,00629E+11;Товар_474;ИП «Логинова, Симонова и Гордеева»;15.10.2021;2206425.767320654;16.10.2021;nn-606/15;3.362487019;1795.03;10.0;108.4;1964.34
4037;2,00405E+11;Товар_1928;ООО «Ларионов, Соболев и Рожков»;18.07.2021;2030085.182627941;23.08.2021;nn-607/15;3.897987986;190.61;10.0;дек.29;207.29
2243;2,01027E+11;Товар_993;Боэс Констракшн (Boes Construction);30.09.2021;3694458.744341769;11.09.2021;nn-608/15;5.781484852;179.42;10.0;20.18;200.11
3025;2,00399E+11;Товар_3889;ОАО «Анисимов-Александрова»;02.07.2021;2008758.7421363415;30.07.2021;nn-609/15;8.847257267;1050.6;10.0;95.41;1181.73
1553;2,01031E+11;Товар_4099;АО «Егорова-Меркушева»;12.08.2021;2926414.944423877;30.05.2021;nn-610/15;2.446088825;360.28;10.0;83.67;406.37
2174;2,00356E+11;Товар_2460;ИП «Субботин, Михайлова и Блинов»;23.10.2021;2001335.764498046;23.09.2021;nn-611/15;1.027866236;801.75;10.0;137.43;899.25
2750;2,00239E+11;Товар_2457;ООО «Шестаков, Никифоров и Мухин»;18.11.2021;2000256.8239275408;05.12.2021;nn-612/15;1.211371597;617.47;10.0;17.19;647.55
2080;2,00691E+11;Товар_1820;ООО «Шарова Якушева»;05.01.2021;2235861.7033438906;17.01.2021;nn-613/15;3.700415652;171.61;10.0;39.77;199.91
3147;2,0099E+11;Товар_5050;ООО «Носова-Антонова»;02.11.2021;3921671.53615743;24.10.2021;nn-614/15;0.502168201;422.88;20.0;58.03;495.1
2984;2,0071E+11;Товар_2543;ООО «Прохорова-Игнатов»;16.11.2021;2279179.258671764;26.09.2021;nn-615/15;1.572634099;288.42;10.0;52.95;328.75
55;2,00755E+11;Товар_690;НПО «Пахомова, Афанасьев и Турова»;28.02.2021;2479780.842739729;19.04.2021;nn-616/15;0.12716635;425.47;10.0;мар.76;440.34
280;2,00666E+11;Товар_301;ООО «Евдокимов, Медведева и Лапин»;26.05.2021;2395624.4475738104;11.08.2021;nn-617/15;0.040003044;48.8;10.0;8.0;54.96
2869;2,00463E+11;Товар_512;Овчинников Групп;06.08.2021;2059963.2487750903;11.09.2021;nn-618/15;6.073115851;455.73;10.0;22.89;505.12
4224;2,00168E+11;Товар_4209;ИП «Третьяков-Красильников»;23.09.2021;2000077.5726964767;04.10.2021;nn-619/15;7.614248672;241.6;10.0;42.95;267.06
4347;2,00432E+11;Товар_2791;Николаев Лимитед;19.10.2021;2021805.365444597;02.09.2021;nn-620/15;20.042437133;168.52;10.0;26.май;186.51
4573;2,00107E+11;Товар_2421;Коновалов и партнеры;01.08.2020;2000010.0005933864;07.09.2020;nn-621/15;4.159564681;423.37;10.0;39.12;470.66
2835;2,01501E+11;Товар_5137;НПО «Карпова»;23.11.2020;16000840.8;21.01.2021;nn-622/15;10.6212832;117.08;10.0;29.58;132.88
1329;2,00972E+11;Товар_1603;Inventive Retail Group;15.10.2021;3000298.596883892;20.10.2021;nn-623/15;2.445453414;789.54;10.0;24.37;869.77
1911;2,00229E+11;Товар_1499;ИП «Кошелева-Мамонтова»;02.12.2020;2003489.9618711192;30.08.2020;nn-624/15;0.403844524;162.82;10.0;41.09;184.22
2272;2,00343E+11;Товар_3776;ЕАПТЕКА ООО;22.08.2021;2019727.475581909;16.08.2021;nn-625;1.216391928;800.21;10.0;95.24;872.72
4971;2,01479E+11;Товар_5812;РАО «Третьяков-Лихачев»;10.05.2021;16000840.8;26.05.2021;nn-626/15;19.204327574;1085.42;10.0;64.37;1187.41
1823;2,00484E+11;Товар_432;ЗАО «Симонова Русаков»;03.08.2021;2047450.544815698;30.06.2021;nn-627/15;3.75175436;394.29;20.0;34.68;442.99
1364;2,01128E+11;Товар_1304;РАО «Миронов, Фокин и Исаев»;08.04.2021;7427859.26706404;04.02.2021;nn-628/15;2.83280395;173.05;20.0;33.48;195.5
4723;2,00784E+11;Товар_4510;ООО «Анисимов Петров»;04.01.2021;3084779.0010411628;16.04.2021;nn-629/15;14.10607916;893.03;20.0;31.авг;987.8
300;2,01454E+11;Товар_605;Чернова Лимитед;03.11.2021;13470266.98113055;30.10.2021;nn-630/15;0.220681007;437.57;;63.06;521.14
4546;2,00927E+11;Товар_3240;Назарова Лтд;07.10.2021;4712724.516366961;12.10.2021;nn-631/15;9.884862149;469.29;20.0;34.97;530.59
3311;2,00761E+11;Товар_1580;ОАО «Ильин-Куликова»;09.07.2021;2578268.173776037;23.08.2021;nn-632/15;0.225841195;590.28;10.0;83.73;679.26
2772;2,01573E+11;Товар_4919;РАО «Селиверстов, Колобов и Борисова»;05.08.2021;16000840.8;23.08.2021;nn-633/15;1.128961234;227.4;10.0;29.82;252.1
1129;2,00292E+11;Товар_332;АО «Фомичев»;07.06.2021;2001364.5612499863;30.08.2021;nn-634/15;0.609142901;419.92;10.0;72.42;461.7
921;2,01574E+11;Товар_1948;Владимирова Лимитед;24.07.2021;16000840.8;20.09.2021;nn-635/15;1.564471945;287.54;10.0;76.23;336.9
489;2,002E+11;Товар_716;АО «Сидорова Соболев»;14.09.2021;2000370.521567208;05.08.2021;nn-636/15;3.028064855;1514.37;10.0;173.63;1728.02
2793;2,00467E+11;Товар_981;ОАО «Евсеева»;16.01.2021;2073880.4061206807;14.01.2021;nn-637/15;0.787701448;986.7;10.0;207.57;1152.51
2221;2,01265E+11;Товар_4214;Молчанова Инкорпорэйтед;01.09.2021;9127310.246168671;22.09.2021;nn-638/15;0.762954277;207.18;10.0;20.41;225.03
1286;2,00253E+11;Товар_1998;ГК Эталон;18.08.2021;2003654.5644768367;22.08.2021;nn-639/15;0.539868367;55.33;20.0;ноя.74;62.39
1681;2,01019E+11;Товар_3330;РАО «Исаева-Гурьев»;02.08.2021;4877021.208305392;24.05.2021;nn-640/15;0.373419889;41.71;10.0;15.24;45.34
2874;2,00505E+11;Товар_1297;ИКЕА Торг (INGKA);29.06.2021;2095462.2537491648;27.02.2021;nn-641/15;1.685472469;1168.56;10.0;77.77;1301.65
1397;2,01019E+11;Товар_4829;Соколова Лимитед;26.05.2020;4838926.066263314;01.09.2020;nn-642/15;1.040331324;506.13;10.0;50.57;553.2
1605;2,0049E+11;Товар_853;ЗАО «Денисова Копылов»;07.06.2021;2049235.4008666908;10.05.2021;nn-643/15;0.440956699;875.35;10.0;63.33;962.1
209;2,0042E+11;Товар_893;ИП «Белякова Якушев»;06.01.2021;2041308.4179284268;09.02.2021;nn-644/15;0.71091717;109.14;20.0;34.77;127.98
1746;2,00947E+11;Товар_1501;ЗАО «Зайцев»;16.07.2021;3258057.078297536;31.05.2021;nn-645/15;0.949575285;149.89;10.0;121.92;183.43
4454;2,00744E+11;Товар_5137;НПО «Прохорова»;20.05.2021;2523129.801949218;22.08.2021;nn-646/15;5.552951977;ноя.89;10.0;17.фев;15.июн
3109;2,00207E+11;Товар_3745;Казаньоргсинтез;09.03.2021;2000289.081006162;19.02.2021;nn-647/15;0.871689799;636.11;10.0;38.34;693.18
3312;2,01358E+11;Товар_4033;ООО «Смирнова Панов»;17.08.2021;6565826.002971653;09.09.2021;nn-648/15;1.394737741;1153.25;10.0;119.13;1258.3
1204;2,01581E+11;Товар_5214;Якушева и партнеры;24.09.2021;16000840.8;02.08.2021;nn-649/15;0.748205914;15.73;10.0;02.июл;15.33
4776;2,01294E+11;Товар_3936;РусВинил;11.07.2021;10522550.393817045;27.07.2021;nn-650/15;19.501148326;328.25;10.0;15.91;359.04
562;2,00402E+11;Товар_2500;ИП «Белова Бирюкова»;19.03.2021;2016634.2950223575;04.05.2021;nn-651/15;0.089445551;окт.83;10.0;мар.77;11.сен
2099;2,01385E+11;Товар_4325;Исакова Лтд;18.10.2021;11739967.728303809;05.09.2021;nn-652/15;0.170895481;37.51;10.0;ноя.66;39.81
1425;2,01436E+11;Товар_2485;Никитин Лимитед;15.03.2021;15104758.5565695;07.01.2021;nn-653/15;4.118898336;300.55;10.0;21.14;333.59
2557;2,01307E+11;Товар_1568;ЗАО «Моисеев, Вишнякова и Маркова»;14.07.2021;10163838.004722062;30.07.2021;nn-654/15;7.279538843;352.31;10.0;65.77;408.44
1515;2,01364E+11;Товар_1892;Ресурс;16.08.2021;8484674.295637632;05.10.2021;nn-655/15;0.36074804;апр.27;10.0;апр.14;апр.84
2401;2,00157E+11;Товар_829;Билла (Rewe);15.10.2021;2000034.2647424324;24.09.2021;nn-656/15;0.720268718;267.46;10.0;47.9;292.98
4248;2,01589E+11;Товар_4666;ОАО «Беляева, Гурьева и Ефимова»;02.07.2021;16000840.8;21.07.2021;nn-657/15;3.024351872;496.04;10.0;91.93;560.27
611;2,0125E+11;Товар_3523;Савин Групп;26.12.2020;7040996.904911533;03.11.2020;nn-658/15;0.414963668;40.01;20.0;дек.89;45.83
3418;2,01403E+11;Товар_1909;АО «Шарапова-Данилова»;22.10.2021;7958822.263492125;12.11.2021;nn-659/15;0.897412555;692.41;10.0;33.87;744.7
2903;2,00327E+11;Товар_2511;ТЭК СПБ;11.07.2021;2003085.378270488;23.07.2021;nn-660/15;10.411816804;890.23;20.0;80.38;1023.7
1769;2,00643E+11;Товар_4066;Пахомов и партнеры;01.07.2021;2303421.688986409;05.07.2021;nn-661/15;3.992578592;317.19;10.0;117.15;371.48
4818;2,01578E+11;Товар_5889;РАО «Вишнякова»;04.10.2021;16000840.8;07.08.2021;nn-662/15;9.655450614;дек.87;10.0;май.28;14.65
1454;2,00942E+11;Товар_2118;АО «Смирнов Соколов»;15.08.2021;3742248.103735833;20.08.2021;nn-663/15;0.327439558;104.04;10.0;60.9;118.35
4965;2,01007E+11;Товар_3283;РАО «Наумов-Некрасова»;30.10.2021;3946186.32668156;31.10.2021;nn-664/15;10.448035348;871.13;10.0;100.65;959.85
2611;2,01455E+11;Товар_4122;ИП «Иванова»;05.04.2021;16000840.8;01.01.2021;nn-665/15;6.571049365;120.63;20.0;59.24;145.7
4619;2,00827E+11;Товар_2759;АО «Комиссарова, Волков и Сысоева»;03.11.2021;2325521.478408813;03.11.2021;nn-666/15;5.578151238;146.58;10.0;37.24;162.12
4495;2,01076E+11;Товар_5454;Носков Инкорпорэйтед;11.08.2021;6272030.962929649;05.09.2021;nn-667/15;6.881792143;1075.97;20.0;25.14;1160.48
2497;2,00667E+11;Товар_2267;ОАО «Быков-Мельникова»;05.10.2021;2336670.1180128944;08.10.2021;nn-668/15;7.000600099;1624.12;10.0;163.51;1851.91
3059;2,01102E+11;Товар_1452;ИП «Буров, Кабанов и Устинов»;30.03.2021;5503756.849994684;25.04.2021;nn-669/15;2.742354835;847.94;10.0;38.83;935.56
1740;2,01285E+11;Товар_2960;ОАО «Федотова, Савина и Михайлов»;18.09.2021;9295991.698736282;18.09.2021;nn-670/15;0.307555931;56.4;20.0;15.78;65.24
1404;2,00907E+11;Товар_2706;Газпром бурение;23.10.2021;3079456.148169036;09.10.2021;nn-671/15;0.199423512;431.73;10.0;30.66;468.72
3532;2,01377E+11;Товар_5281;АО «Кононов»;30.10.2021;7285098.139222071;07.11.2021;nn-672/15;2.865264774;400.1;20.0;18.29;443.3
2916;2,01568E+11;Товар_4971;Кузьмина Лтд;05.08.2021;16000840.8;06.06.2021;nn-673/15;7.312309086;106.98;10.0;окт.71;117.97
2272;2,00265E+11;Товар_5374;ООО «Лебедев, Бобылев и Лапина»;25.12.2020;2028986.950394604;21.02.2021;nn-674/15;1.473976585;84.19;10.0;30.35;91.4
2380;2,01107E+11;Товар_4377;Карпов Инк;23.03.2021;4421179.248726412;11.01.2021;nn-675/15;8.642240327;181.43;20.0;58.32;212.34
4168;2,01477E+11;Товар_1885;АО «Лукина»;18.07.2021;13573847.080844264;15.07.2021;nn-676/15;10.110712509;1942.63;10.0;134.02;2147.04
4364;2,00929E+11;Товар_2041;АО «Калинина, Гущин и Мясников»;07.07.2021;3170080.0350436773;10.06.2021;nn-677/15;7.214776274;624.79;10.0;157.9;690.85
1169;2,01104E+11;Товар_2945;РАО «Алексеев Панфилова»;15.08.2021;4966959.354249918;21.08.2021;nn-678/15;0.138343145;922.91;10.0;135.38;1051.86
1481;2,00254E+11;Товар_873;НПО «Шашков-Зимина»;16.05.2021;2001762.266256129;03.05.2021;nn-679/15;7.018479254;499.21;10.0;38.48;548.54
656;2,00462E+11;Товар_561;Богданова Лтд;14.11.2020;2094358.979734478;08.05.2020;nn-680/15;0.054199284;310.78;10.0;70.13;349.21
1707;2,01183E+11;Товар_3332;ГК Мега-Авто;13.11.2021;4720956.196776172;22.11.2021;nn-681/15;0.243296035;144.4;10.0;авг.33;150.46
3641;2,00261E+11;Товар_396;Неофарм;09.10.2021;2000335.079908732;10.10.2021;nn-682/15;3.812546026;251.08;10.0;70.43;286.3
4138;2,00731E+11;Товар_3731;РАО «Миронова-Рогова»;20.08.2021;2356032.2911930056;30.09.2021;nn-683/15;1.276664952;515.85;10.0;28.93;578.05
1761;2,00106E+11;Товар_506;АО «Пономарев»;30.06.2021;2000010.0313315128;06.07.2021;nn-684/15;0.216838809;134.28;10.0;17.38;145.25
79;2,01063E+11;Товар_683;ЗАО «Лыткин-Кириллова»;11.07.2021;6506851.166939627;26.06.2021;nn-685/15;0.863150216;790.65;10.0;44.9;877.15
172;2,00458E+11;Товар_1078;ООО «Вишняков-Ефимова»;02.07.2021;2092563.155838748;20.05.2021;nn-686/15;0.083579573;481.45;;26.22;551.38
1699;2,01472E+11;Товар_3996;ОАО «Калинина»;09.09.2021;12264979.398198582;26.08.2021;nn-687/15;6.160950805;1295.09;10.0;100.23;1434.1
1214;2,01126E+11;Товар_2332;ООО «Блинова»;13.09.2021;4890336.344422457;12.09.2021;nn-688/15;0.537752786;189.03;20.0;дек.34;211.05
3810;2,0034E+11;Товар_3590;НПО «Шестаков-Алексеева»;28.08.2021;2049152.7128402477;04.08.2021;nn-689/15;6.154318166;277.11;10.0;23.13;313.73
4372;2,00631E+11;Товар_5116;АО «Стрелкова-Антонов»;30.09.2021;2245492.5709649823;09.11.2021;nn-690/15;5.46417791;175.17;10.0;сен.69;192.55
2348;2,00544E+11;Товар_1788;ОАО «Хохлов, Горбачева и Ковалев»;19.08.2021;2041520.0314664596;30.08.2021;nn-691/15;0.361138948;482.4;10.0;90.31;545.44
4393;2,00838E+11;Товар_2967;ЗАО «Белозерова»;13.11.2021;3193459.317121897;25.10.2021;nn-692/15;8.871271235;739.93;10.0;139.77;842.57
2698;2,00415E+11;Товар_1439;ИП «Жданова Беляков»;18.08.2021;2014228.1641681883;08.10.2021;nn-693/15;4.16029584;96.14;10.0;сен.76;109.79
3240;2,013E+11;Товар_1236;Жданов Лимитед;07.05.2021;9793282.658262882;27.03.2021;nn-694/15;2.876676515;628.71;20.0;59.13;730.21
67;2,01407E+11;Товар_2179;РАО «Дьячков, Анисимов и Юдина»;01.02.2021;9785206.38793903;17.01.2021;nn-695/15;0.145958379;948.81;20.0;32.82;1035.51
3467;2,00328E+11;Товар_2527;РАО «Блинова-Белоусова»;21.09.2021;2017468.9007880609;03.08.2021;nn-696/15;0.637152303;796.67;10.0;102.06;882.4
1376;2,00835E+11;Товар_1779;РАО «Панов-Белов»;18.05.2021;2579795.1139692143;07.07.2021;nn-697/15;9.962664514;772.97;10.0;92.62;854.17
2313;2,01014E+11;Товар_805;ОАО «Васильев-Бобылева»;25.09.2021;5571205.949654864;21.08.2021;nn-698/15;0.551797681;417.53;20.0;45.09;454.48
1791;2,00822E+11;Товар_4354;Саткинский чугуноплавильный завод;05.07.2021;2464716.0528246146;16.06.2021;nn-699/15;9.246596059;323.58;10.0;67.23;364.15
3975;2,00531E+11;Товар_2515;Никитина Лтд;04.12.2021;2092824.2197882948;30.11.2021;nn-700/15;0.611148646;138.9;10.0;13.42;154.82
1035;2,01276E+11;Товар_3137;ОАО «Королева-Осипова»;01.07.2021;6307568.644152188;01.06.2021;nn-701/15;0.789295401;763.42;10.0;122.38;859.93
947;2,0062E+11;Товар_1464;НПО «Вишняков, Шашков и Игнатьева»;03.10.2021;2154170.5731964745;21.09.2021;nn-702/15;0.056635176;852.86;10.0;173.6;978.49
3390;2,01273E+11;Товар_4502;АО «Лобанов, Суворов и Шубина»;17.08.2021;6217017.677892901;20.08.2021;nn-703/15;4.471906198;241.98;10.0;87.43;283.14
1438;2,0108E+11;Товар_3519;ООО «Нестеров, Романов и Боброва»;17.11.2021;2948147.770802514;08.11.2021;nn-704/15;2.495536388;2238.17;10.0;217.81;2476.03
753;2,01054E+11;Товар_505;РАО «Чернов-Лапин»;07.10.2021;4279729.400369601;23.08.2021;nn-705/15;0.140648414;68.59;20.0;15.55;77.79
4202;2,01144E+11;Товар_5164;ООО «Самойлова-Зайцева»;26.10.2021;4827895.335535039;29.09.2021;nn-706/15;0.629952836;498.12;10.0;92.44;579.34
2310;2,00907E+11;Товар_4373;ООО «Аксенова Герасимов»;29.10.2021;4828756.534447596;27.09.2021;nn-707/15;0.224628637;80.38;10.0;35.88;90.85
697;2,01436E+11;Товар_655;НПО «Некрасова Калинин»;17.07.2021;16000840.8;04.06.2021;nn-708/15;0.051122335;758.85;10.0;23.17;823.97
181;2,01491E+11;Товар_881;Пономарев Инк;21.11.2020;11482093.30477606;22.10.2020;nn-709/15;0.32485975;394.6;10.0;29.35;443.25
5017;2,00492E+11;Товар_5355;НПО «Кудряшов, Хохлов и Гурьев»;02.12.2021;2019618.5487533985;19.11.2021;nn-710/15;12.200767079;428.07;10.0;19.31;456.87
1544;2,01155E+11;Товар_2807;ФМСМ (PMI);28.09.2021;5034418.580201628;28.08.2021;nn-711/15;0.294071078;299.04;10.0;15.0;314.43
504;2,01327E+11;Товар_3274;НПО «Фадеева Гущин»;13.09.2021;8565727.318214163;24.08.2021;nn-712/15;0.191146972;230.64;20.0;май.56;245.97
3632;2,00223E+11;Товар_680;General Fueller;30.09.2021;2002622.6377314725;18.10.2021;nn-713/15;2.046724155;49.38;10.0;дек.76;51.51
4574;2,01552E+11;Товар_5534;Александрова Групп;26.09.2021;16000840.8;26.09.2021;nn-714/15;3.934416761;261.69;20.0;59.02;304.02
2641;2,0138E+11;Товар_1183;ОАО «Шестаков-Никонов»;14.08.2021;11738166.519745274;23.06.2021;nn-715/15;1.123549018;205.07;10.0;19.мар;220.47
2818;2,00561E+11;Товар_2093;Наумова Групп;09.10.2021;2022629.067566411;04.10.2021;nn-716/15;5.119679223;241.94;10.0;30.49;266.07
4973;2,01339E+11;Товар_4957;РАО «Тихонов Сафонова»;14.09.2021;8921375.881543837;03.08.2021;nn-717/15;10.092298862;229.61;10.0;25.дек;256.87
2103;2,0029E+11;Товар_1269;Костин и партнеры;16.11.2021;2002462.0110546867;17.10.2021;nn-718/15;0.417304827;118.92;10.0;53.74;140.33
4395;2,00173E+11;Товар_632;АО «Маслов-Доронина»;19.08.2021;2000629.139856199;07.08.2021;nn-719/15;2.223008763;2885.75;20.0;275.23;3274.17
4581;2,00987E+11;Товар_2598;Сазонова Инк;22.10.2021;4259054.005654311;08.10.2021;nn-720/15;8.83670157;1752.65;20.0;174.63;2036.67
3122;2,01501E+11;Товар_1665;Роскосмос;20.08.2021;16000840.8;04.08.2021;nn-721/15;0.833174325;1952.26;10.0;147.09;2122.77
1159;2,0034E+11;Товар_514;НПО «Стрелков, Киселев и Титова»;26.08.2021;2013885.666288987;13.09.2021;nn-722/15;0.645553357;879.96;10.0;68.93;986.21
1567;2,01564E+11;Товар_5571;ООО «Никифорова Кошелев»;09.12.2020;16000840.8;02.02.2021;nn-723/15;0.391674044;476.0;10.0;29.24;523.11
2570;2,00619E+11;Товар_2190;АО «Нестерова-Носов»;01.07.2021;2583979.5358294607;09.07.2021;nn-724/15;1.377512609;437.24;20.0;27.54;492.81
2654;2,00424E+11;Товар_3843;Артис-Агро Экспорт;17.05.2021;2017201.019203814;09.06.2021;nn-725/15;7.744686438;103.4;20.0;22.сен;118.11
848;2,00634E+11;Товар_1012;Российская электроника;14.04.2020;2578270.013806863;17.07.2020;nn-726/15;0.824788649;260.41;20.0;20.0;295.17
2144;2,00305E+11;Товар_617;ЗАО «Нестерова Григорьев»;13.09.2021;2011226.879913945;03.08.2021;nn-727/15;0.122388282;440.35;10.0;56.55;490.5
648;2,0016E+11;Товар_585;ИП «Корнилова Смирнова»;06.08.2021;2000030.154025394;29.08.2021;nn-728/15;3.959525093;140.15;10.0;мар.77;147.02
1760;2,01057E+11;Товар_4073;ООО «Корнилова, Жданов и Жданов»;14.03.2021;4076054.4421280106;16.03.2021;nn-729/15;1.418661854;73.19;20.0;03.май;78.69
3282;2,0119E+11;Товар_4913;РАО «Борисова»;12.10.2021;7399749.195150896;25.10.2021;nn-730/15;4.870362856;1485.33;20.0;46.9;1607.04
3558;2,01475E+11;Товар_3030;Самсонова Групп;17.11.2021;16000840.8;09.11.2021;nn-731/15;4.287498058;125.68;10.0;39.24;144.06
4388;2,00832E+11;Товар_1420;ООО «Игнатьева Исакова»;10.07.2021;2690570.361446374;13.06.2021;nn-732/15;1.594916396;1266.17;10.0;67.19;1352.3
1360;2,00211E+11;Товар_154;ОАО «Тихонов Большакова»;22.09.2021;2000201.2547300295;05.09.2021;nn-733/15;2.28594033;1692.87;10.0;73.43;1866.31
3614;2,00953E+11;Товар_3993;Карпов Лимитед;19.05.2021;3431865.236256698;08.07.2021;nn-734/15;0.192074693;200.33;20.0;17.65;224.74
836;2,0086E+11;Товар_1249;ИП «Федоров»;23.06.2021;5084945.672180338;12.08.2021;nn-735/15;2.086596901;662.37;10.0;дек.26;715.17
