№ п/п;Штрих-код партии;Наименование товара;Поставщик;Дата приходного документа;Номер приходного документа;Дата накладной;Номер накладной;Кол-во;Сумма в закупочных ценах без НДС;Ставка НДС поставщика;Сумма НДС;Сумма в закупочных ценах с НДС
2835;2,01365E+11;Товар_2678;Рыбакова Групп;09.09.2021;10281152.3538285;17.09.2021;nn-021/15;0.284388317;297.73;10.0;20.15;328.36
1071;2,01523E+11;Товар_5408;ООО «Кулагина, Ширяева и Громова»;07.08.2021;14343202.129856007;28.08.2021;nn-022/15;1.571850775;296.59;;86.97;363.19
3156;2,00924E+11;Товар_4840;Макаров Инк;16.08.2021;3910823.249275242;06.09.2021;nn-023/15;0.425381284;299.9;10.0;36.97;321.43
2108;2,0143E+11;Товар_4896;ЗАО «Воронцов, Пахомов и Кузьмин»;02.07.2021;14619505.898210246;18.06.2021;nn-024/15;1.726561534;706.81;10.0;69.56;792.67
3690;2,01043E+11;Товар_1942;РАО «Наумова Гусева»;25.09.2021;4065206.813709224;25.09.2021;nn-025/15;8.669080747;54.04;20.0;май.86;59.06
2777;2,00595E+11;Товар_4093;ЕАПТЕКА ООО;12.04.2021;2131329.700163158;24.02.2021;nn-026;0.807815313;152.69;10.0;54.19;173.47
172;2,00579E+11;Товар_125;ЗАО «Константинов-Лазарев»;19.06.2020;2237343.728687922;20.07.2020;nn-027/15;0.103451438;532.34;10.0;50.93;572.82
2589;2,00573E+11;Товар_1792;Emex;16.10.2021;2085328.915485424;30.09.2021;nn-028/15;0.365007488;1163.77;10.0;113.72;1295.05
4430;2,00141E+11;Товар_2142;Тетерин Лимитед;09.08.2021;2000103.6874674133;04.05.2021;nn-029/15;12.21779961;660.78;10.0;44.8;716.66
1493;2,00657E+11;Товар_2453;ОАО «Дьячков»;11.07.2021;2180105.4999260358;22.06.2021;nn-030/15;0.658504651;1426.35;10.0;130.56;1613.11
442;2,00437E+11;Товар_4428;АО «Харитонов Кузьмина»;13.05.2021;2019094.0126063009;13.03.2021;nn-031/15;0.301788289;338.19;10.0;42.3;366.33
2994;2,01006E+11;Товар_2903;Баранов и партнеры;28.06.2021;3870774.0904548913;08.07.2021;nn-032/15;3.007675646;294.86;20.0;28.44;326.36
4360;2,01556E+11;Товар_1078;АО «Зимина, Аксенов и Миронов»;25.07.2021;16000840.8;28.08.2021;nn-033/15;13.421322509;180.55;10.0;15.28;199.18
4833;2,00445E+11;Товар_3309;ОАО «Кузьмина Богданов»;23.10.2021;2044663.1348984076;08.10.2021;nn-034/15;20.87895814;444.45;10.0;52.89;475.57
321;2,00588E+11;Товар_842;РАО «Владимиров»;28.08.2021;2230740.077694023;17.08.2021;nn-035/15;0.084516428;76.03;20.0;янв.37;79.12
4033;2,01587E+11;Товар_5745;Беляева Лтд;06.02.2021;16000840.8;20.11.2020;nn-036/15;12.466125229;290.67;;июн.57;320.14
368;2,00303E+11;Товар_1726;ИП «Калинин»;01.05.2021;2009006.430198799;02.04.2021;nn-037/15;0.256896563;13.16;;02.апр;16.51
2416;2,00969E+11;Товар_3442;ОАО «Назаров»;11.09.2020;3376402.614499452;01.06.2021;nn-038/15;0.281321423;46.73;10.0;79.19;55.03
1259;2,00707E+11;Товар_509;Кабанова Групп;10.08.2021;2244089.100253425;21.07.2021;nn-039/15;0.333388418;378.76;20.0;25.35;439.56
1048;2,00246E+11;Товар_1407;ОАО «Зимина Федосеева»;12.10.2021;2000191.5985119543;05.09.2021;nn-040/15;1.86249185;121.73;10.0;июн.26;130.61
3984;2,00651E+11;Товар_4912;ООО «Доронина-Молчанова»;21.06.2021;2134419.3699330064;17.08.2021;nn-041/15;10.717101291;63.09;20.0;мар.19;68.56
1845;2,00274E+11;Товар_106;УГС;07.04.2021;2003569.6547634853;26.06.2021;nn-042/15;0.246376553;1267.38;10.0;255.18;1446.94
1141;2,0129E+11;Товар_811;Костина Лтд;28.06.2021;8304860.556741093;09.05.2021;nn-043/15;0.261359143;350.41;10.0;76.18;400.23
361;2,00379E+11;Товар_1621;ЗАО «Иванов»;16.07.2021;2018193.9734090944;05.08.2021;nn-044/15;0.60354081;40.77;;01.фев;45.06
2870;2,01362E+11;Товар_4273;АО «Русакова, Костина и Стрелков»;09.06.2021;10733944.746766318;10.08.2021;nn-045/15;1.865146389;34.75;;мар.34;41.09
1788;2,01209E+11;Товар_3047;ООО «Васильев Комиссаров»;22.06.2021;6108408.425373928;12.09.2021;nn-046/15;1.559505881;653.78;10.0;105.71;759.2
2148;2,00519E+11;Товар_3054;ЗАО «Жуков»;08.03.2021;2187378.5100777154;12.06.2021;nn-047/15;0.119994094;283.6;10.0;31.95;305.82
1890;2,00258E+11;Товар_2942;НПО «Осипов, Рогова и Аксенов»;23.10.2021;2003782.4940177165;09.10.2021;nn-048/15;5.488724029;397.38;10.0;32.09;425.58
1782;2,00198E+11;Товар_659;Емельянов и партнеры;06.09.2021;2000026.2332772915;20.09.2021;nn-049/15;6.613158123;464.63;20.0;35.06;537.82
2195;2,00264E+11;Товар_1018;ООО «Тимофеев Гущина»;26.09.2021;2000698.9349831813;08.10.2021;nn-050/15;1.03032053;1006.58;10.0;197.83;1165.85
4368;2,00385E+11;Товар_4128;Быкова Инк;03.11.2021;2021141.9623266768;26.10.2021;nn-051/15;9.163756385;1220.68;10.0;86.17;1350.76
588;2,00324E+11;Товар_623;ИП «Аксенов»;19.10.2021;2043716.55114596;10.11.2021;nn-052/15;0.405635258;16.55;20.0;01.мар;18.57
332;2,00567E+11;Товар_231;НПО «Блинов-Зимина»;27.08.2021;2086804.4038543387;26.07.2021;nn-053/15;0.0887037;201.97;10.0;58.69;241.72
3659;2,00654E+11;Товар_3952;Куйбышевазот;21.11.2021;2194672.0478250976;21.10.2021;nn-054/15;5.53345396;896.48;10.0;40.22;969.75
1230;2,00187E+11;Товар_154;ЗАО «Богданова-Васильева»;23.04.2021;2000172.7109870615;10.06.2021;nn-055/15;1.457101083;366.59;10.0;окт.45;391.67
3903;2,00916E+11;Товар_4403;ОАО «Беляков, Мясникова и Гущин»;21.10.2021;3103637.407066488;29.09.2021;nn-056/15;2.00830708;227.96;20.0;78.51;273.25
1843;2,00813E+11;Товар_2216;РАО «Борисов-Назаров»;16.04.2021;4591701.840863111;07.07.2021;nn-057/15;6.052493663;633.4;10.0;57.23;728.78
1732;2,01529E+11;Товар_4244;РАО «Марков»;04.10.2021;16000840.8;22.10.2021;nn-058/15;0.129956845;569.31;10.0;89.39;633.07
4217;2,0074E+11;Товар_5242;ОАО «Фомичев»;17.10.2021;2329333.6372137223;12.09.2021;nn-059/15;21.271843553;529.91;10.0;20.45;560.81
4295;2,00839E+11;Товар_2094;ИП «Кириллова Киселева»;13.06.2021;2407396.0733757173;16.05.2021;nn-060/15;1.276129815;462.93;10.0;49.05;493.25
4261;2,00275E+11;Товар_3334;НПО «Морозова»;23.08.2021;2006634.513733617;08.07.2021;nn-061/15;3.921842797;224.79;10.0;фев.21;227.86
368;2,00718E+11;Товар_1096;ОАО «Белова»;03.07.2021;2290114.227909734;04.08.2021;nn-062/15;1.997720048;852.46;10.0;228.66;1009.05
2040;2,01529E+11;Товар_4725;ИП «Ильина, Ковалева и Антонов»;13.05.2021;16000840.8;23.06.2021;nn-063/15;0.173657998;29.61;10.0;37.42;32.49
395;2,00781E+11;Товар_411;ОАО «Савельев Щукин»;31.08.2021;2500996.308967502;22.09.2021;nn-064/15;0.040283083;245.14;10.0;15.24;264.19
4974;2,00419E+11;Товар_2844;Коновалов Лтд;10.05.2021;2041607.8452548676;06.05.2021;nn-065/15;6.445699386;1591.67;10.0;187.85;1812.91
4041;2,01057E+11;Товар_5012;Моисеев Лтд;22.07.2021;4631201.373781234;24.06.2021;nn-066/15;2.296334186;100.22;10.0;24.54;117.76
74;2,00252E+11;Товар_980;АО «Тарасов Гуляев»;12.08.2021;2000966.4685854372;31.08.2021;nn-067/15;0.042831653;19.87;10.0;0.99;19.32
2602;2,01562E+11;Товар_3098;Лазарева и партнеры;28.07.2020;16000840.8;15.02.2021;nn-068/15;4.543607832;142.36;10.0;май.95;149.5
525;2,00472E+11;Товар_604;ООО «Беляев»;18.07.2021;2030816.253708061;11.07.2021;nn-069/15;0.586392564;281.87;10.0;16.32;313.87
102;2,01328E+11;Товар_2930;Ефремова Групп;06.10.2021;11774401.056740329;14.08.2021;nn-070/15;0.280930492;76.43;10.0;окт.31;86.29
5014;2,00206E+11;Товар_4317;АО «Наумова-Тихонов»;13.09.2021;2000101.8795670168;01.10.2021;nn-071/15;20.504974348;519.66;10.0;45.0;571.9
295;2,00615E+11;Товар_818;РАО «Куликова Смирнова»;12.03.2021;2054930.6977777784;19.02.2021;nn-072/15;1.260102594;39.37;10.0;авг.79;43.7
309;2,00553E+11;Товар_1323;ЗАО «Пестова, Сергеев и Волков»;14.11.2020;2061877.8389458812;06.02.2021;nn-073/15;0.087298927;384.36;20.0;июл.65;410.58
2250;2,01078E+11;Товар_1860;РАО «Александрова»;01.10.2021;3106693.5102895917;02.07.2021;nn-074/15;15.575601781;134.78;10.0;25.янв;146.13
4275;2,01103E+11;Товар_4700;РАО «Гришин-Петрова»;19.02.2021;7140294.50175769;10.04.2021;nn-075/15;8.913860244;104.58;10.0;14.авг;120.36
454;2,00893E+11;Товар_1702;Детский мир;31.12.2020;2690792.16302572;19.05.2021;nn-076/15;3.376026566;211.33;10.0;71.04;240.49
4758;2,00991E+11;Товар_2597;РАО «Большакова-Котова»;05.10.2021;3884297.465464533;23.09.2021;nn-077/15;4.616577104;335.86;10.0;16.96;360.26
2653;2,00324E+11;Товар_2132;ЗАО «Исаева-Морозова»;02.11.2021;2015374.7740334484;25.10.2021;nn-078/15;1.985305952;55.61;20.0;21.мар;67.96
3835;2,00147E+11;Товар_158;ООО «Назарова-Гуляев»;12.10.2021;2000074.9766405777;07.10.2021;nn-079/15;2.447194048;464.51;10.0;110.26;526.19
4685;2,0067E+11;Товар_1777;НПО «Панфилова, Никифоров и Симонова»;11.11.2021;2403898.008770012;31.10.2021;nn-080/15;3.947817965;775.03;10.0;53.7;862.63
1041;2,01037E+11;Товар_4262;АХ Степь;24.05.2021;4228132.095656002;13.05.2021;nn-081/15;12.532123892;120.72;10.0;окт.25;137.11
2881;2,01113E+11;Товар_2657;ООО «Гурьева-Беляев»;29.09.2021;6664517.250658124;22.09.2021;nn-082/15;1.409127884;819.73;10.0;72.77;919.11
3525;2,01074E+11;Товар_3770;ЗАО «Потапова Орехова»;09.04.2021;6687026.324799564;24.04.2021;nn-083/15;5.722541065;1288.98;10.0;126.17;1435.51
1580;2,01454E+11;Товар_3667;ОАО «Орлова»;15.01.2020;16000840.8;02.09.2020;nn-084/15;1.539814183;78.01;10.0;июн.82;83.6
4362;2,01408E+11;Товар_5457;АО «Веселова»;08.07.2021;14347638.524052773;06.06.2021;nn-085/15;2.789669191;139.52;10.0;62.62;167.34
3597;2,00541E+11;Товар_2834;Адидас (Adidas);28.09.2021;2035776.5013211488;10.10.2021;nn-086/15;4.666927075;470.9;10.0;32.5;504.68
137;2,00468E+11;Товар_2190;АО «Данилов»;10.03.2021;2024091.2362562336;21.05.2021;nn-087/15;0.148148032;13.78;20.0;26.июн;17.55
312;2,01037E+11;Товар_399;ООО «Дьячкова, Ковалева и Осипов»;27.10.2021;4086479.241034073;31.10.2021;nn-088/15;0.692067887;184.95;;апр.64;205.64
3441;2,00253E+11;Товар_1772;Федосеева и партнеры;15.03.2021;2013983.29733863;28.04.2021;nn-089/15;3.561191709;134.45;10.0;авг.45;144.32
3362;2,009E+11;Товар_2527;НПО «Быков Красильников»;04.02.2021;5583183.159767417;01.06.2021;nn-090/15;1.824769432;37.57;20.0;мар.42;40.94
2764;2,01004E+11;Товар_3104;РАО «Филиппова, Филиппова и Некрасов»;09.11.2021;2569283.11057429;25.09.2021;nn-091/15;1.031947383;644.22;10.0;52.38;701.48
4037;2,00774E+11;Товар_1683;Крылов Лимитед;11.07.2021;2282318.4288681466;06.07.2021;nn-092/15;1.86358269;985.04;20.0;137.6;1120.81
1485;2,00918E+11;Товар_2890;Тимофеева Инк;07.05.2021;3106044.7615612904;27.04.2021;nn-093/15;5.147767742;250.27;20.0;25.48;291.3
3891;2,01233E+11;Товар_3746;БСС;28.07.2021;6994508.811442224;02.08.2021;nn-094/15;0.86435826;мар.33;10.0;0.64;мар.45
1134;2,00998E+11;Товар_2047;ИП «Назаров, Федосеев и Тимофеев»;05.10.2021;4760841.754420423;26.07.2021;nn-095/15;0.342931208;75.43;20.0;15.35;85.85
2780;2,00343E+11;Товар_2154;ОАО «Голубева»;07.02.2021;2031954.8881670483;14.12.2020;nn-096/15;9.706538349;263.94;10.0;30.26;305.15
889;2,00783E+11;Товар_1283;ЗАО «Щербакова»;25.03.2021;3055677.5986194;19.04.2021;nn-097/15;1.032081663;383.18;10.0;24.25;414.28
2844;2,00609E+11;Товар_2261;РАО «Бобылева Галкин»;09.09.2021;2234566.78541451;13.07.2021;nn-098/15;6.026247513;224.84;10.0;30.94;253.34
3369;2,00648E+11;Товар_4143;Тимофеев и партнеры;27.05.2021;2304083.3792988183;28.03.2021;nn-099/15;11.010287325;562.52;20.0;35.7;618.97
3826;2,00404E+11;Товар_2725;НПО «Сазонова»;19.09.2020;2138695.362130328;25.05.2021;nn-100/15;4.755516333;490.44;20.0;14.65;533.41
1638;2,00509E+11;Товар_514;Берлин-Хеми А. Менарини (Berlin Chemie);01.12.2020;2470178.7750692447;14.02.2021;nn-101/15;1.084851302;102.0;10.0;100.25;125.21
2850;2,00466E+11;Товар_533;ЗАО «Кондратьева, Селиверстова и Дорофеева»;01.01.2021;2030158.270287746;10.02.2021;nn-102/15;1.13394752;816.0;10.0;151.97;931.98
3506;2,00414E+11;Товар_5374;ЗАО «Стрелков»;04.08.2021;2015382.8702044652;06.07.2021;nn-103/15;6.893483647;523.77;10.0;май.83;569.25
3132;2,01444E+11;Товар_2746;Группа Содружество;17.04.2021;14683327.30234298;12.04.2021;nn-104/15;4.588923642;22.63;10.0;июл.16;25.16
1354;2,01286E+11;Товар_3381;ИП «Селиверстов-Блохина»;15.04.2021;9610091.356650284;05.05.2021;nn-105/15;0.317670728;170.51;20.0;45.1;199.63
202;2,00228E+11;Товар_194;Комус;05.09.2021;2000321.760144262;20.07.2021;nn-106/15;0.480684685;121.29;10.0;авг.88;128.42
2273;2,01385E+11;Товар_3898;Дроздова Лтд;06.04.2021;9294682.13063144;12.04.2021;nn-107/15;2.705056269;338.46;10.0;ноя.79;368.18
2725;2,00664E+11;Товар_2978;НПО «Власов, Смирнов и Дьячкова»;21.10.2021;2225535.647285377;26.09.2021;nn-108/15;6.538019611;415.17;10.0;49.0;471.01
2926;2,00669E+11;Товар_2843;РАО «Наумов-Родионов»;04.06.2021;2214570.2307611727;08.06.2021;nn-109/15;2.360773408;223.0;10.0;31.53;240.78
3902;2,01527E+11;Товар_3867;ИП «Хохлова, Королева и Марков»;30.10.2021;16000840.8;08.09.2021;nn-110/15;1.941272082;342.85;10.0;46.11;391.84
2020;2,01226E+11;Товар_3681;РАО «Денисов Рябова»;29.07.2021;5009563.671749481;12.07.2021;nn-111/15;3.143165586;217.03;10.0;76.65;249.32
421;2,00392E+11;Товар_993;Профитмед;03.08.2021;2011899.6188847497;11.08.2021;nn-112/15;0.219060791;453.17;10.0;48.42;506.3
3306;2,00355E+11;Товар_235;НПО «Горбачев»;24.07.2021;2022804.6030661932;19.07.2021;nn-113/15;0.976166739;497.24;10.0;47.89;546.99
939;2,00266E+11;Товар_1006;НПО «Морозов»;26.10.2021;2001253.0963108535;29.10.2021;nn-114/15;0.041229418;554.44;10.0;04.июн;570.01
298;2,00108E+11;Товар_2290;ООО «Мишин-Лапина»;20.02.2021;2000010.04533994;06.05.2021;nn-115/15;0.201322311;472.94;10.0;23.69;532.76
2381;2,00379E+11;Товар_455;Банк Санкт-Петербург;16.07.2021;2005441.7718418771;07.06.2021;nn-116/15;1.222937252;736.0;20.0;250.38;876.83
997;2,00869E+11;Товар_1753;ЗАО «Родионова, Рогов и Сазонова»;30.08.2021;2826443.597207662;15.10.2021;nn-117/15;0.069365768;170.41;10.0;26.янв;188.81
247;2,01581E+11;Товар_1257;Комиссарова и партнеры;19.07.2021;16000840.8;07.07.2021;nn-118/15;0.091512374;119.31;10.0;дек.64;137.24
3505;2,00481E+11;Товар_1151;РАО «Молчанов, Игнатов и Игнатьев»;12.09.2021;2008850.188715372;28.09.2021;nn-119/15;2.070613343;44.69;10.0;сен.61;49.99
1456;2,01538E+11;Товар_3549;ГК Мегаполис;19.09.2021;16000840.8;01.09.2021;nn-120/15;3.694508117;181.59;10.0;янв.25;184.2
490;2,00755E+11;Товар_2934;АО «Петухова»;02.08.2021;3071645.606543828;04.08.2021;nn-121/15;0.132084705;260.77;20.0;55.52;293.54
4722;2,00325E+11;Товар_1029;РАО «Беляков Боброва»;10.09.2021;2012916.1181721203;15.09.2021;nn-122/15;1.493443214;1181.87;10.0;85.03;1292.26
1621;2,00171E+11;Товар_1286;ОАО «Мартынова Новикова»;13.07.2021;2000016.8752336183;07.09.2021;nn-123/15;4.712496364;317.33;20.0;128.82;394.14
4384;2,00993E+11;Товар_1270;Молчанов Лтд;18.06.2021;3626633.0076788673;30.08.2021;nn-124/15;2.911111626;126.56;20.0;июл.15;137.2
3177;2,0048E+11;Товар_1034;Самойлов и партнеры;26.10.2021;2211890.836617677;20.10.2021;nn-125/15;0.1947405;89.1;10.0;134.57;105.34
511;2,00477E+11;Товар_1164;НПО «Андреева-Михеев»;02.04.2021;2050969.8651058944;07.04.2021;nn-126/15;0.046427537;118.32;10.0;71.34;134.44
3277;2,00158E+11;Товар_563;ОАО «Блинов»;04.09.2021;2000076.240228217;04.09.2021;nn-127/15;4.542948869;1312.38;10.0;91.09;1463.32
4594;2,00559E+11;Товар_2502;ЗАО «Голубева, Комиссаров и Белов»;31.07.2021;2355067.620596293;29.07.2021;nn-128/15;19.573799256;210.16;10.0;48.79;239.39
604;2,00792E+11;Товар_2589;ОАО «Колесникова»;30.01.2021;2195985.3370494884;12.04.2021;nn-129/15;0.089978161;772.28;10.0;66.27;842.56
633;2,00274E+11;Товар_99;ИП «Павлова, Громова и Игнатьев»;21.02.2021;2006588.474263681;11.04.2021;nn-130/15;0.308239497;485.93;10.0;41.14;547.62
3765;2,00986E+11;Товар_5709;ООО «Александров, Поляков и Шарова»;04.09.2021;5383535.8034841325;31.07.2021;nn-131/15;0.454393746;432.62;20.0;40.86;483.23
1509;2,00531E+11;Товар_3069;Кабанова Групп;21.11.2021;2086630.470113277;01.11.2021;nn-132/15;0.807277407;323.1;10.0;145.04;378.38
573;2,00711E+11;Товар_3430;ООО «Федорова, Юдина и Ширяев»;26.10.2020;2533596.3771951385;04.03.2021;nn-133/15;1.160662503;312.94;10.0;35.69;355.59
643;2,00418E+11;Товар_2698;Группа Синара;24.10.2021;2023067.7266991795;01.10.2021;nn-134/15;0.424241216;997.0;10.0;119.33;1136.03
4515;2,0054E+11;Товар_2846;ИП «Капустин»;25.07.2021;2056218.731707576;13.10.2021;nn-135/15;5.555581731;173.31;10.0;17.июн;192.75
1251;2,01372E+11;Товар_3027;ЗАО «Григорьев-Афанасьева»;21.06.2021;8565524.27515603;06.06.2021;nn-136/15;0.568998028;318.37;10.0;27.янв;343.29
1450;2,00585E+11;Товар_3598;ЗАО «Кулагина Большакова»;31.08.2021;2225676.0471242014;08.10.2021;nn-137/15;0.441592851;225.5;10.0;45.95;258.8
361;2,00441E+11;Товар_50;ООО «Егорова-Лаврентьева»;21.07.2021;2029565.6892077485;28.08.2021;nn-138/15;1.443534874;144.77;10.0;янв.63;145.82
423;2,01505E+11;Товар_2523;НПО «Петрова, Назаров и Степанов»;18.07.2020;16000840.8;15.10.2020;nn-139/15;2.02871375;424.71;20.0;88.78;498.75
4159;2,00154E+11;Товар_5113;НПО «Абрамова»;13.01.2021;2000033.306155969;14.02.2021;nn-140/15;5.054286435;436.29;10.0;38.86;491.75
1784;2,01595E+11;Товар_3644;ИП «Силина»;17.01.2021;16000840.8;20.11.2020;nn-141/15;1.209820348;139.65;20.0;25.27;162.63
3916;2,00292E+11;Товар_3728;Давыдов Инк;26.04.2021;2004152.558398698;03.03.2021;nn-142/15;3.577742095;347.24;10.0;97.29;407.21
2168;2,01345E+11;Товар_5385;ОАО «Бирюков-Носков»;12.04.2021;9979157.954754883;19.02.2021;nn-143/15;0.382677687;192.05;10.0;24.июл;208.74
378;2,00486E+11;Товар_80;Осипов Инк;18.05.2021;2053968.3762966504;16.03.2021;nn-144/15;0.045115721;162.65;10.0;30.65;179.4
2352;2,00148E+11;Товар_392;ОАО «Рогов Рябов»;29.05.2021;2000021.4982427792;26.04.2021;nn-145/15;7.992001557;204.46;10.0;54.02;233.13
4999;2,0146E+11;Товар_4944;ИП «Селезнева, Веселова и Дроздов»;12.04.2021;16000840.8;24.03.2021;nn-146/15;22.888679658;614.29;10.0;48.72;682.16
2854;2,00759E+11;Товар_2318;ООО «Вишняков Маслова»;20.02.2021;2573549.9478858733;25.04.2021;nn-147/15;2.035172084;765.81;10.0;29.66;842.0
4351;2,0014E+11;Товар_2448;РАО «Кабанов Гришин»;27.05.2021;2000020.1203699508;06.06.2021;nn-148/15;13.066866984;339.76;10.0;40.03;375.87
1944;2,00841E+11;Товар_3225;ОАО «Романова»;21.06.2021;2211791.958481332;05.08.2021;nn-149/15;0.432026567;60.29;10.0;105.26;73.08
395;2,01143E+11;Товар_4952;ИП «Максимов-Маслова»;18.04.2020;6053421.685622257;09.07.2020;nn-150/15;0.242509953;429.65;10.0;мар.22;445.63
1791;2,01107E+11;Товар_3124;ИП «Федосеева Королев»;18.07.2021;4169776.790150725;15.08.2021;nn-151/15;9.263648974;208.48;10.0;32.24;234.07
2760;2,00603E+11;Товар_4310;АО «Зуева-Пестова»;07.10.2021;2391899.211930802;22.07.2021;nn-152/15;5.118182506;375.75;10.0;91.88;436.43
1423;2,00731E+11;Товар_2363;Фомичева Инкорпорэйтед;27.12.2020;2550874.291895398;09.01.2021;nn-153/15;0.049682205;285.84;10.0;70.79;332.46
104;2,00347E+11;Товар_627;Вертолеты России;08.06.2021;2001617.7392893268;15.06.2021;nn-154/15;0.243462376;207.1;;15.апр;232.42
4531;2,00641E+11;Товар_3337;Мельников Инк;21.06.2021;2568652.314140025;21.07.2021;nn-155/15;13.787519422;202.21;20.0;14.сен;222.28
3850;2,01103E+11;Товар_4722;РАО «Давыдов, Авдеев и Никитин»;10.10.2021;4693275.5233118925;07.09.2021;nn-156/15;8.143532176;71.68;10.0;29.85;85.98
1568;2,01368E+11;Товар_4613;Системный оператор Единой энергетической системы;14.03.2021;12138483.59571009;19.04.2021;nn-157/15;0.083392945;74.12;10.0;окт.59;87.14
1071;2,011E+11;Товар_4172;ОАО «Юдин»;04.08.2021;5286031.055621287;29.06.2021;nn-158/15;1.159451043;250.05;10.0;27.0;277.61
2501;2,01395E+11;Товар_2018;ОАО «Русаков Фомина»;27.06.2021;10860044.55238806;03.06.2021;nn-159/15;4.910257855;18.19;10.0;янв.19;18.45
410;2,01185E+11;Товар_1709;Сладковско-Заречное;30.08.2021;4494715.676244613;27.09.2021;nn-160/15;0.140084556;139.08;10.0;16.19;158.14
2681;2,01295E+11;Товар_1868;Зерно-трейд;03.11.2021;4948328.279561432;14.10.2021;nn-161/15;0.601071172;185.05;20.0;22.15;211.19
2919;2,00637E+11;Товар_2153;НПО «Фадеева-Шилов»;10.10.2021;2220656.4922923697;20.07.2021;nn-162/15;1.492935383;232.13;20.0;26.96;257.7
516;2,01195E+11;Товар_3547;ОАО «Бобров Трофимова»;26.06.2021;7031426.237767756;01.05.2021;nn-163/15;0.711667644;980.95;10.0;75.11;1098.13
2708;2,0036E+11;Товар_949;ЗАО «Колобова Трофимов»;02.12.2020;2014867.159082553;25.01.2021;nn-164/15;0.26538596;431.33;20.0;33.18;490.95
1445;2,00943E+11;Товар_1927;Ингосстрах;25.10.2021;3467094.100353856;14.09.2021;nn-165/15;0.600008182;88.77;20.0;59.54;104.16
